,Name,Link,Tier,Type,Location,Portfolio,# Investments
232,BPEA EQT,https://cryptorank.io/funds/bpea-eqt,3,Venture,Hong Kong,LayerZero,1
233,Brandenburg Kapital,https://cryptorank.io/funds/brandenburg-kapital,3,Venture,Germany,ZkSystems,1
234,Bridge Bank,https://cryptorank.io/funds/bridge-bank,3,Corporation,United States,Step,1
235,Bridgescale Partners,https://cryptorank.io/funds/bridgescale-partners,3,Venture,United States,BitGo,1
236,BSCLaunch,https://cryptorank.io/funds/bsclaunch,3,Incubator,N/A,Antex,1
237,BTA Ventures,https://cryptorank.io/funds/bta-ventures,3,Venture,Vietnam,BSClaunch,1
238,Buchanan Capital Managemen...,https://cryptorank.io/funds/buchanan-capital-management,3,Venture,United States,Bitnet Technologies,1
239,Built,https://cryptorank.io/funds/built,3,Corporation,United States,DigiBuild,1
240,Business Finland,https://cryptorank.io/funds/business-finland,3,Venture,Finland,iconicchain,1
241,BW Capital Partners,https://cryptorank.io/funds/bw-capital-partners,3,Venture,United States,SpiderOak,1
242,CAA Sports,https://cryptorank.io/funds/caa-sports,3,Corporation,United States,Rumble League Studios,1
243,Caisse de Dépôt et Placeme...,https://cryptorank.io/funds/caisse-de-depotet-et-placement-du-quebec,3,Venture,Canada,Celsius,1
244,Calibrate Management,https://cryptorank.io/funds/calibrate-management,3,Venture,United Kingdom,Cygnetise,1
245,Canada Nuchain Foundation,https://cryptorank.io/funds/canada-nuchain-foundation,3,Venture,Canada,XMEX,1
246,Canapi Ventures,https://cryptorank.io/funds/canapi-ventures,3,Venture,United States,Fireblocks,1
247,Canary,https://cryptorank.io/funds/canary,3,Venture,Brazil,Hashdex,1
248,Capability and Innovation ...,https://cryptorank.io/funds/capability-and-innovation-fund,3,Venture,N/A,Starling Bank,1
249,Capital Factory,https://cryptorank.io/funds/capital-factory,3,Venture,United States,Unchained Capital,1
250,Capricorn Investment Group,https://cryptorank.io/funds/capricorn-investment,3,Venture,United States,Matchday,1
251,CardStarter,https://cryptorank.io/funds/cardstarter,3,Venture,Canada,Matrix Labs,1
252,Casper Labs,https://cryptorank.io/funds/casper-labs,3,Corporation,Switzerland,Burrito Wallet,1
253,Cathay Innovation,https://cryptorank.io/funds/cathay-innovation,3,Venture,United States,Ledger,1
254,Celestia,https://cryptorank.io/funds/celestia,3,Corporation,Liechtenstein,Modular Cloud,1
255,Chaotic Capital,https://cryptorank.io/funds/chaotic-capital,3,Venture,United States,Squads,1
